Frame ID,QR id,QR 2D,Distance,Yaw
377,3,"[[527.0, 150.0], [549.0, 151.0], [548.0, 173.0], [528.0, 173.0]]",2.11371911088812,-2.057750892744673
378,3,"[[504.0, 133.0], [526.0, 132.0], [527.0, 155.0], [506.0, 156.0]]",2.18321287549351,-1.1169818635756925
379,3,"[[512.0, 165.0], [535.0, 164.0], [536.0, 188.0], [514.0, 190.0]]",1.9317714627176135,-7.263503955549812
380,3,"[[523.0, 176.0], [547.0, 175.0], [548.0, 197.0], [525.0, 200.0]]",1.984910055373605,-4.759339478231558
381,3,"[[542.0, 135.0], [567.0, 135.0], [566.0, 159.0], [542.0, 159.0]]",1.9306219936226179,0.6952493937064902
382,3,"[[560.0, 151.0], [585.0, 151.0], [585.0, 177.0], [561.0, 177.0]]",1.8310507247391996,5.235974721275539
383,3,"[[562.0, 155.0], [587.0, 154.0], [588.0, 181.0], [563.0, 182.0]]",1.7683476862525545,-5.114635517411164
384,3,"[[554.0, 162.0], [580.0, 161.0], [580.0, 187.0], [554.0, 188.0]]",1.8009518387094376,0.21642843303409526
386,3,"[[551.0, 148.0], [578.0, 148.0], [577.0, 177.0], [551.0, 177.0]]",1.7566276886911742,-0.7714521619098873
387,3,"[[552.0, 140.0], [580.0, 140.0], [580.0, 169.0], [553.0, 170.0]]",1.6253822049203799,-3.9905705500970448
388,3,"[[562.0, 135.0], [591.0, 134.0], [592.0, 164.0], [563.0, 166.0]]",1.5771770061659567,-4.879203430260328
389,3,"[[573.0, 149.0], [603.0, 147.0], [605.0, 177.0], [575.0, 180.0]]",1.565173506399111,-4.936832293044221
390,3,"[[604.0, 117.0], [635.0, 117.0], [635.0, 149.0], [604.0, 150.0]]",1.4993857558678356,-2.490436670878904
391,3,"[[629.0, 126.0], [662.0, 126.0], [664.0, 160.0], [630.0, 160.0]]",1.3861839619258858,-1.4681085779922278
392,3,"[[665.0, 144.0], [699.0, 142.0], [700.0, 178.0], [666.0, 179.0]]",1.3704424884027417,4.173911594300356
393,3,"[[675.0, 140.0], [711.0, 137.0], [711.0, 175.0], [676.0, 176.0]]",1.323111175579304,3.656079417371202
394,3,"[[688.0, 105.0], [724.0, 104.0], [725.0, 143.0], [689.0, 145.0]]",1.257364125474956,-4.954750235778348
395,3,"[[698.0, 104.0], [736.0, 101.0], [737.0, 141.0], [700.0, 143.0]]",1.2614043242952278,5.381198960025805
396,3,"[[708.0, 64.0], [748.0, 62.0], [750.0, 105.0], [709.0, 108.0]]",1.167572783493168,-5.231038857530154
397,3,"[[728.0, 74.0], [771.0, 71.0], [773.0, 117.0], [730.0, 120.0]]",1.103488183755116,-5.4873152711847375
398,3,"[[792.0, 44.0], [840.0, 42.0], [839.0, 93.0], [792.0, 95.0]]",1.0366636127033948,-3.609881020832251
399,3,"[[850.0, 44.0], [902.0, 43.0], [901.0, 97.0], [850.0, 99.0]]",0.9825279456692605,-2.544497862786103
400,3,"[[888.0, 47.0], [942.0, 45.0], [942.0, 101.0], [888.0, 103.0]]",0.9659004416860137,-2.4173433843605516
419,2,"[[273.0, 63.0], [305.0, 62.0], [304.0, 102.0], [274.0, 103.0]]",1.517841690988646,-8.820714233303898
423,2,"[[604.0, 61.0], [634.0, 57.0], [630.0, 98.0], [600.0, 101.0]]",1.2153680298006946,12.337629382064224
423,5,"[[69.0, 77.0], [87.0, 78.0], [87.0, 96.0], [69.0, 95.0]]",2.932971615815186,2.6486975793276195
424,2,"[[629.0, 64.0], [660.0, 61.0], [656.0, 102.0], [625.0, 104.0]]",1.2264616521327187,13.675845512141821
425,2,"[[680.0, 58.0], [711.0, 55.0], [706.0, 98.0], [675.0, 100.0]]",1.1887593809176955,18.353433515333567
426,2,"[[723.0, 68.0], [754.0, 65.0], [750.0, 110.0], [718.0, 111.0]]",1.1628098017230568,21.863144106251397
427,2,"[[782.0, 64.0], [815.0, 59.0], [811.0, 104.0], [777.0, 108.0]]",1.1692439523863827,18.37728382166582
427,5,"[[276.0, 117.0], [293.0, 118.0], [293.0, 134.0], [276.0, 132.0]]",3.1731535830924398,1.1252614228425537
428,2,"[[789.0, 47.0], [822.0, 40.0], [818.0, 87.0], [785.0, 92.0]]",1.1438441193514535,19.883459496169458
428,5,"[[298.0, 110.0], [316.0, 111.0], [314.0, 127.0], [298.0, 125.0]]",2.8697950050757206,1.986084150555701
429,2,"[[787.0, 28.0], [820.0, 21.0], [815.0, 71.0], [783.0, 75.0]]",1.1010284410549962,27.179494179088856
429,5,"[[305.0, 94.0], [322.0, 95.0], [321.0, 111.0], [305.0, 110.0]]",2.9634233205896217,0.0949791358608569
430,2,"[[798.0, 33.0], [830.0, 26.0], [826.0, 76.0], [793.0, 81.0]]",1.0899645227937407,27.347729639426476
430,5,"[[324.0, 96.0], [341.0, 97.0], [341.0, 113.0], [325.0, 113.0]]",2.933021632021788,0.8849827799174179
432,5,"[[379.0, 91.0], [395.0, 92.0], [395.0, 108.0], [379.0, 108.0]]",2.9787000046726075,-1.7416489788609413
432,4,"[[235.0, 158.0], [244.0, 158.0], [245.0, 167.0], [236.0, 167.0]]",5.324576191336488,0.5158231344964544
435,5,"[[423.0, 128.0], [440.0, 127.0], [441.0, 143.0], [424.0, 144.0]]",2.776051285475561,-3.548202286851908
436,5,"[[422.0, 136.0], [439.0, 135.0], [440.0, 152.0], [424.0, 153.0]]",2.8049531538019337,-1.4526386225431214
437,2,"[[889.0, 32.0], [929.0, 16.0], [926.0, 82.0], [888.0, 94.0]]",0.8579562129840637,35.17522407252054
437,5,"[[434.0, 164.0], [451.0, 165.0], [451.0, 182.0], [435.0, 182.0]]",2.683139861842795,-2.509701478179111
438,5,"[[457.0, 177.0], [474.0, 176.0], [473.0, 193.0], [456.0, 193.0]]",2.667907866734001,0.7932989392274361
439,5,"[[462.0, 177.0], [478.0, 178.0], [478.0, 195.0], [461.0, 195.0]]",2.695853924053605,-1.5557994316849337
440,2,"[[898.0, 55.0], [942.0, 39.0], [938.0, 112.0], [894.0, 123.0]]",0.7732746066671687,34.68122617945521
440,5,"[[441.0, 198.0], [457.0, 199.0], [457.0, 216.0], [440.0, 215.0]]",2.7435744783065767,1.1495957844761902
441,2,"[[880.0, 45.0], [926.0, 27.0], [921.0, 102.0], [876.0, 114.0]]",0.752591204199589,27.974398905864614
441,5,"[[416.0, 193.0], [433.0, 193.0], [434.0, 210.0], [416.0, 210.0]]",2.661826690732741,-1.086731320762324
442,5,"[[386.0, 171.0], [404.0, 171.0], [404.0, 189.0], [386.0, 187.0]]",2.6035006490860875,3.4214174240384234
443,2,"[[849.0, 33.0], [900.0, 11.0], [897.0, 94.0], [845.0, 110.0]]",0.6693381848169994,17.65048285054173
443,5,"[[351.0, 199.0], [368.0, 197.0], [370.0, 215.0], [352.0, 216.0]]",2.660954496000819,-4.660085232218936
444,2,"[[881.0, 35.0], [939.0, 10.0], [940.0, 96.0], [881.0, 114.0]]",0.6569891712651112,10.78504524218546
445,5,"[[352.0, 213.0], [371.0, 212.0], [372.0, 231.0], [355.0, 232.0]]",2.585418525262581,-3.3543833874200857
445,4,"[[230.0, 288.0], [240.0, 289.0], [240.0, 298.0], [230.0, 298.0]]",4.853067442340465,1.7259960972155062
446,5,"[[371.0, 217.0], [389.0, 216.0], [391.0, 235.0], [373.0, 236.0]]",2.445657305231269,-1.0502464859583414
447,5,"[[406.0, 219.0], [426.0, 216.0], [427.0, 235.0], [408.0, 236.0]]",2.3700093545154526,-6.6365768778439636
448,5,"[[428.0, 176.0], [447.0, 176.0], [448.0, 195.0], [428.0, 195.0]]",2.393152476165769,-0.9997233069046039
449,5,"[[476.0, 163.0], [495.0, 162.0], [496.0, 182.0], [477.0, 183.0]]",2.3712817704170623,-5.759065331667251
450,5,"[[490.0, 161.0], [510.0, 160.0], [511.0, 181.0], [492.0, 182.0]]",2.3911206867562997,-2.799444799167473
451,5,"[[517.0, 156.0], [538.0, 154.0], [539.0, 175.0], [519.0, 176.0]]",2.2813474388676336,-2.5942714297119176
452,5,"[[535.0, 154.0], [555.0, 153.0], [557.0, 174.0], [536.0, 176.0]]",2.211157240104662,-6.191206951293688
452,4,"[[410.0, 246.0], [420.0, 245.0], [421.0, 255.0], [411.0, 255.0]]",4.597770419732416,-2.2843678005642354
453,5,"[[536.0, 139.0], [558.0, 138.0], [558.0, 159.0], [537.0, 160.0]]",2.1952022376376434,-2.0392113655861634
454,5,"[[542.0, 132.0], [563.0, 132.0], [562.0, 156.0], [542.0, 157.0]]",1.963943284802208,-7.67810842521955
455,5,"[[555.0, 128.0], [577.0, 126.0], [578.0, 149.0], [556.0, 151.0]]",2.088151553374851,-6.893746910294613
455,4,"[[423.0, 226.0], [433.0, 226.0], [434.0, 236.0], [423.0, 236.0]]",4.395122157579733,-1.228099378362539
456,5,"[[564.0, 122.0], [587.0, 120.0], [589.0, 143.0], [566.0, 146.0]]",2.051390833558479,-6.2752784877822725
456,4,"[[430.0, 225.0], [441.0, 226.0], [441.0, 236.0], [430.0, 236.0]]",4.196313819601213,1.470393130875544
456,7,"[[359.0, 273.0], [359.0, 264.0], [368.0, 264.0], [368.0, 273.0]]",5.158971942331286,-89.88059530376648
457,5,"[[574.0, 127.0], [597.0, 126.0], [599.0, 150.0], [576.0, 152.0]]",1.9548548721851746,-6.401074883149214
458,5,"[[634.0, 125.0], [660.0, 124.0], [660.0, 149.0], [636.0, 151.0]]",1.9095466420911136,-3.6734657521848058
459,5,"[[657.0, 117.0], [683.0, 115.0], [684.0, 142.0], [658.0, 143.0]]",1.8474609396241963,2.6251856828679254
459,4,"[[507.0, 227.0], [518.0, 227.0], [518.0, 239.0], [507.0, 238.0]]",4.00881519333641,5.3675430538000874
459,7,"[[432.0, 274.0], [432.0, 265.0], [442.0, 265.0], [441.0, 275.0]]",4.851335373241417,-86.92675705477458
460,5,"[[679.0, 113.0], [707.0, 111.0], [707.0, 138.0], [680.0, 140.0]]",1.805853155400602,-1.3834771445232177
461,5,"[[688.0, 111.0], [717.0, 109.0], [717.0, 137.0], [690.0, 139.0]]",1.7639685082888767,1.2641809358023648
461,4,"[[532.0, 232.0], [543.0, 232.0], [543.0, 244.0], [532.0, 244.0]]",3.886882329681304,-2.4673644118061704
463,5,"[[699.0, 88.0], [731.0, 86.0], [730.0, 116.0], [700.0, 118.0]]",1.6293585395252457,-0.05260488177167299
464,5,"[[695.0, 79.0], [727.0, 76.0], [727.0, 107.0], [697.0, 109.0]]",1.6246559339032212,0.6826518174577493
464,4,"[[524.0, 212.0], [536.0, 212.0], [536.0, 225.0], [524.0, 225.0]]",3.603978535590409,-2.738035790930453
464,7,"[[447.0, 265.0], [447.0, 254.0], [457.0, 255.0], [457.0, 265.0]]",4.369562324853255,-89.95856054715149
465,5,"[[698.0, 73.0], [731.0, 69.0], [732.0, 101.0], [700.0, 104.0]]",1.560721462239787,-1.5783972475369474
465,7,"[[446.0, 272.0], [446.0, 261.0], [456.0, 261.0], [456.0, 271.0]]",4.355312235921009,-89.78307757954076
466,5,"[[685.0, 82.0], [719.0, 79.0], [719.0, 112.0], [687.0, 115.0]]",1.5200761421674567,-1.827812024639931
466,4,"[[505.0, 231.0], [517.0, 230.0], [518.0, 242.0], [505.0, 243.0]]",3.678062010058586,-3.5450176614746853
467,5,"[[745.0, 59.0], [781.0, 55.0], [782.0, 91.0], [746.0, 94.0]]",1.4484717419560607,1.547055483220009
467,4,"[[548.0, 218.0], [561.0, 218.0], [561.0, 231.0], [548.0, 231.0]]",3.5827649570156597,0.054917518926054995
468,5,"[[762.0, 38.0], [800.0, 34.0], [801.0, 72.0], [763.0, 76.0]]",1.3820887416465388,-3.3964966403852963
468,4,"[[556.0, 207.0], [569.0, 207.0], [569.0, 220.0], [555.0, 220.0]]",3.4522807342463406,1.5423364044725227
468,7,"[[474.0, 264.0], [473.0, 253.0], [483.0, 252.0], [484.0, 263.0]]",4.194997709590533,-95.22301727721782
469,5,"[[778.0, 22.0], [819.0, 18.0], [820.0, 59.0], [779.0, 63.0]]",1.2909997729666232,-3.281773483233289
469,7,"[[472.0, 271.0], [472.0, 260.0], [482.0, 259.0], [483.0, 271.0]]",4.01728985742073,-92.47974353661024
470,4,"[[562.0, 202.0], [575.0, 200.0], [576.0, 216.0], [563.0, 216.0]]",3.1294517852870567,1.6532067909303683
471,4,"[[504.0, 212.0], [517.0, 211.0], [519.0, 225.0], [504.0, 226.0]]",3.302679836116927,-3.9195787535366056
472,4,"[[498.0, 209.0], [512.0, 208.0], [513.0, 222.0], [498.0, 223.0]]",3.184312955228546,-2.8422823342679018
472,7,"[[413.0, 276.0], [411.0, 264.0], [422.0, 263.0], [423.0, 275.0]]",3.9398470345508305,-96.74691403348046
476,4,"[[527.0, 205.0], [542.0, 205.0], [542.0, 221.0], [527.0, 221.0]]",2.9335046299431746,-2.413246311454668
476,7,"[[435.0, 272.0], [435.0, 259.0], [447.0, 259.0], [447.0, 272.0]]",3.56166990629915,-89.84018261090773
477,4,"[[535.0, 218.0], [550.0, 217.0], [551.0, 233.0], [535.0, 234.0]]",2.907717303117475,-1.2042229207645365
477,7,"[[441.0, 286.0], [442.0, 273.0], [453.0, 273.0], [454.0, 286.0]]",3.729710009283998,-89.8566996575356
479,4,"[[506.0, 220.0], [523.0, 219.0], [523.0, 235.0], [506.0, 236.0]]",2.7045589745173113,-1.9828926431368565
479,7,"[[408.0, 291.0], [408.0, 278.0], [421.0, 277.0], [422.0, 291.0]]",3.40836665145853,-91.95999622171666
480,4,"[[494.0, 215.0], [511.0, 215.0], [512.0, 231.0], [495.0, 232.0]]",2.7135461233516343,-2.322925574697507
480,7,"[[396.0, 289.0], [396.0, 276.0], [409.0, 275.0], [410.0, 289.0]]",3.4119179023851376,-91.9721971769407
481,4,"[[479.0, 232.0], [496.0, 232.0], [496.0, 249.0], [479.0, 250.0]]",2.6381571837508924,-3.3441878318416545
481,7,"[[380.0, 310.0], [379.0, 297.0], [393.0, 295.0], [394.0, 309.0]]",3.417504028395622,-95.29415383356246
482,4,"[[476.0, 238.0], [493.0, 236.0], [494.0, 254.0], [476.0, 255.0]]",2.569714553572919,-3.3603113942814775
483,4,"[[467.0, 193.0], [485.0, 192.0], [486.0, 210.0], [468.0, 212.0]]",2.5136339949251676,-6.754167438129793
484,4,"[[462.0, 202.0], [480.0, 202.0], [480.0, 221.0], [462.0, 221.0]]",2.46661682449494,2.684673340407687
484,7,"[[356.0, 279.0], [356.0, 265.0], [371.0, 265.0], [371.0, 280.0]]",3.108756599072214,-87.969103983442
485,10,"[[899.0, 213.0], [912.0, 210.0], [912.0, 251.0], [898.0, 252.0]]",1.2860960512875794,150.86847669814236
485,4,"[[467.0, 214.0], [485.0, 214.0], [485.0, 233.0], [467.0, 234.0]]",2.3873326663083043,-4.7330104109026
485,7,"[[360.0, 294.0], [359.0, 278.0], [374.0, 278.0], [375.0, 293.0]]",2.9789311499334565,-93.65868222716192
486,10,"[[901.0, 235.0], [916.0, 232.0], [916.0, 275.0], [901.0, 276.0]]",1.2200817143464997,155.97706372748868
486,4,"[[449.0, 242.0], [468.0, 241.0], [469.0, 261.0], [450.0, 261.0]]",2.3651025932401586,-0.016634782600620467
486,7,"[[341.0, 324.0], [340.0, 308.0], [356.0, 308.0], [356.0, 323.0]]",2.9845474740729823,-91.11662312100756
487,10,"[[907.0, 211.0], [924.0, 208.0], [923.0, 254.0], [905.0, 256.0]]",1.136535306058289,145.4034249416883
487,4,"[[426.0, 206.0], [446.0, 207.0], [445.0, 227.0], [425.0, 227.0]]",2.2605412076909026,-1.0008992597264008
487,7,"[[311.0, 289.0], [312.0, 273.0], [327.0, 273.0], [326.0, 290.0]]",2.817632300935471,-86.61209237591062
488,10,"[[907.0, 220.0], [925.0, 216.0], [924.0, 264.0], [906.0, 264.0]]",1.1207142071379987,143.3622555127749
488,4,"[[421.0, 216.0], [441.0, 215.0], [441.0, 236.0], [421.0, 236.0]]",2.257819796890713,0.18221182981453907
488,7,"[[307.0, 299.0], [306.0, 284.0], [321.0, 282.0], [323.0, 299.0]]",2.9027631188110776,-94.22469002612476
489,4,"[[456.0, 260.0], [478.0, 261.0], [478.0, 282.0], [457.0, 282.0]]",2.10265835192462,0.21486184568280448
489,7,"[[340.0, 350.0], [339.0, 333.0], [355.0, 332.0], [357.0, 349.0]]",2.707584696804704,-95.48968115222927
490,11,"[[928.0, 694.0], [893.0, 683.0], [902.0, 673.0], [939.0, 685.0]]",1.6283765921032947,-166.2654005314612
490,4,"[[529.0, 240.0], [552.0, 238.0], [552.0, 261.0], [530.0, 261.0]]",2.0574744224636774,-2.351653962008433
490,7,"[[410.0, 331.0], [409.0, 314.0], [426.0, 313.0], [427.0, 331.0]]",2.6147476134331695,-92.95036669204403
491,4,"[[548.0, 228.0], [571.0, 228.0], [570.0, 251.0], [547.0, 251.0]]",1.9938479319759033,1.9286761087505526
491,7,"[[424.0, 320.0], [424.0, 302.0], [441.0, 302.0], [442.0, 320.0]]",2.5460540414523933,-91.69059518533483
492,4,"[[577.0, 231.0], [601.0, 231.0], [602.0, 254.0], [578.0, 255.0]]",1.9360511500316147,-1.3158935577205255
492,0,"[[42.0, 267.0], [59.0, 267.0], [61.0, 293.0], [44.0, 293.0]]",1.9460023289793975,2.5499726476223588
492,7,"[[450.0, 325.0], [451.0, 307.0], [468.0, 307.0], [467.0, 326.0]]",2.4769534893456475,-86.88435635701416
493,4,"[[592.0, 236.0], [616.0, 236.0], [615.0, 261.0], [591.0, 260.0]]",1.9092718415061538,3.657834029886408
493,7,"[[460.0, 331.0], [461.0, 313.0], [478.0, 313.0], [478.0, 333.0]]",2.4099698188829004,-88.5032196145744
494,4,"[[616.0, 235.0], [641.0, 235.0], [640.0, 260.0], [615.0, 260.0]]",1.8645251511084655,-0.17164589914897554
